Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,66.500000,66.699997,66.199997,66.300003,63.442245,1846627
2020-01-03,66.400002,67.000000,66.300003,66.599998,63.729309,2495154
2020-01-06,66.000000,66.000000,65.000000,65.300003,62.485348,2654779
2020-01-07,65.300003,65.800003,64.699997,65.000000,62.198277,2748998
2020-01-08,64.500000,64.800003,64.099998,64.300003,61.528450,2624638
2020-01-09,64.599998,64.900002,64.300003,64.800003,62.006901,1810533
2020-01-10,64.900002,65.000000,64.599998,64.900002,62.102589,1519958
2020-01-13,65.099998,65.300003,64.800003,65.000000,62.198277,1898552
2020-01-14,65.400002,65.699997,65.199997,65.599998,62.772411,2264593
2020-01-15,65.699997,65.699997,65.099998,65.400002,62.581036,1890929
2020-01-16,65.099998,65.400002,65.000000,65.199997,62.389652,1790251
2020-01-17,65.300003,66.199997,65.300003,66.000000,63.155170,2978201
2020-01-20,66.300003,66.599998,65.800003,65.900002,63.059483,1975373
2020-01-30,60.099998,61.900002,59.799999,59.799999,57.222412,8392880
2020-01-31,60.000000,61.099998,60.000000,60.500000,57.892242,4403791
2020-02-03,59.599998,59.599998,58.000000,59.299999,56.743965,5306158
2020-02-04,68.800003,69.000000,61.000000,61.000000,58.370689,2619404
2020-02-05,61.099998,61.299999,60.200001,61.000000,58.370689,2776370
2020-02-06,61.500000,62.000000,61.200001,61.599998,58.944824,2560778
2020-02-07,61.200001,61.400002,60.599998,61.400002,58.753448,1981806
2020-02-10,60.200001,60.799999,59.700001,60.400002,57.796555,1454659
2020-02-11,60.599998,60.900002,60.400002,60.599998,57.987930,2226426
2020-02-12,60.700001,61.400002,60.700001,61.200001,58.562069,3712937
2020-02-13,61.299999,61.799999,61.000000,61.299999,58.657757,2730584
2020-02-14,61.299999,61.599998,61.099998,61.200001,58.562069,2012648
2020-02-17,60.799999,61.099998,60.599998,60.599998,57.987930,1503804
2020-02-18,60.500000,60.799999,60.200001,60.400002,57.796555,1208483
2020-02-19,60.400002,61.400002,60.299999,61.099998,58.466377,1923871
2020-02-20,61.099998,61.299999,60.299999,60.700001,58.083622,1778928
2020-02-21,60.599998,60.900002,60.400002,60.500000,57.892242,1305415
2020-02-24,60.200001,60.400002,60.000000,60.099998,57.509480,2557970
2020-02-25,59.200001,60.200001,59.099998,59.900002,57.318104,1847282
2020-02-26,59.299999,59.799999,59.299999,59.599998,57.031033,2247008
2020-02-27,59.500000,59.900002,59.299999,59.500000,56.935345,3474589
2020-03-02,58.299999,59.500000,58.299999,58.700001,56.169827,4481391
2020-03-03,59.700001,59.900002,59.200001,59.200001,56.648277,2032670
